# word	ipa	meaning	source
#
# Two sources, and the fourth column says which is which.
#
# source=freetalk: the FreeTalk Dictionary V1, Copyright 2024-present
#   FreeTalk.fun, CC BY-NC 4.0 — NON-COMMERCIAL. A product that makes
#   money needs a licence from them. See FREETALK_LICENSE beside this
#   file. https://github.com/freetalk-fun/freetalk-dictionary-v1
#   Changed: the first short, non-circular sense of each word was
#   taken, and nothing else was kept.
#
# source=shadowline: the contractions and possessives, written for this
#   project in tools/contractions.py and under its licence, because the
#   dictionary has no entry containing an apostrophe.
#
# Rebuild with tools/build_seed_glosses.py.
the	ðə	Denoting one or more people or things already mentioned or assumed to be common knowledge	freetalk
to	ˈtu	Expressing motion in the direction of a particular location	freetalk
and	ənd	Used to connect words or phrases in a sentence	freetalk
of	ˈʌv	Expressing the relationship between a part and a whole	freetalk
in	ɪn	Expressing the situation of something that is or appears to be enclosed or surrounded by something else	freetalk
is	ˈɪz	Third person singular present of be	freetalk
for	ˈfɔɹ	Used to indicate the recipient or beneficiary of an action	freetalk
that	ˈðæt	Used to introduce a clause or sentence expressing a statement or hypothesis	freetalk
you	ˈju	Used to refer to the person or people that the speaker is addressing	freetalk
it	ˈɪt	Used to refer to a thing previously mentioned or easily identified	freetalk
on	ˈɑn	Physically in contact with and supported by a surface	freetalk
with	ˈwɪð	Accompanied by	freetalk
this	ˈðɪs	Used to introduce a topic or subject	freetalk
was	ˈwɑz	past tense of 'be'	freetalk
be	ˈbi	exist	freetalk
as	ˈæz	In the same way or manner	freetalk
are	ˈɑɹ	Present tense of the verb 'be', used with plural subjects	freetalk
have	ˈhæv	Possess	freetalk
at	ˈæt	Expressing location or position in a particular place	freetalk
he	ˈhi	Used to refer to a male person or animal previously mentioned or easily identified	freetalk
not	ˈnɑt	Used to express negation or denial	freetalk
by	ˈbaɪ	Indicating the agent performing an action	freetalk
but	ˈbʌt	Used to introduce a phrase or clause contrasting with what has already been mentioned	freetalk
from	ˈfɹʌm	Used to indicate the point in time at which an action or event takes place	freetalk
my	ˈmaɪ	Belonging to or associated with the speaker	freetalk
or	ˈɔɹ	Used to present alternatives	freetalk
we	ˈwi	Used by a speaker to refer to himself or herself and one or more other people as the object of a verb or preposition	freetalk
your	ˈjɔɹ	Belonging to or associated with the person or people that the speaker is addressing	freetalk
all	ˈɔl	The whole quantity or extent of something	freetalk
so	ˈsoʊ	To such a great extent	freetalk
his	ˈhɪz	Belonging to or associated with a male person or animal	freetalk
they	ˈðeɪ	Used to refer to two or more people or things previously mentioned or easily identified	freetalk
me	ˈmi	Used to refer to oneself as the object of a verb or preposition	freetalk
if	ˈɪf	In the event that	freetalk
one	ˈwʌn	Being a single unit or individual	freetalk
can	ˈkæn	To be able to	freetalk
will	ˈwɪl	Expressing future tense or intention	freetalk
just	ˈdʒʌst	Based on or behaving according to what is morally right and fair	freetalk
like	ˈlaɪk	Having similar characteristics or qualities to something else	freetalk
about	əˈbaʊt	On the subject of; concerning	freetalk
up	ˈʌp	Toward a higher place or position	freetalk
out	ˈaʊt	Away from the inside or center	freetalk
what	ˈwʌt	Asking for information or specifying something	freetalk
has	ˈhæz	Possess (third person singular present)	freetalk
when	ˈwɛn	At what time	freetalk
more	ˈmɔɹ	Greater in amount, number, or degree	freetalk
do	ˈdu	Perform an action	freetalk
no	ˈnoʊ	Used to give a negative response or refusal	freetalk
were	ˈwɝ	Past tense of 'be'	freetalk
who	ˈhu	Used to ask about a person's identity or character	freetalk
had	ˈhæd	past tense of have	freetalk
it's	ˈɪts	Short for 'it is' or 'it has'	shadowline
their	ˈðɛɹ	Belonging to or associated with a group of people previously mentioned or easily identified	freetalk
there	ˈðɛɹ	In or at that place	freetalk
her	ˈhɝ	Belonging to or associated with a female person or animal	freetalk
which	ˈwɪtʃ	Used to introduce a nonrestrictive clause or phrase	freetalk
time	ˈtaɪm	The indefinite continued progress of existence and events in the past, present, and future	freetalk
get	ˈɡɛt	To receive or acquire	freetalk
been	ˈbɪn	past participle of 'be'	freetalk
would	ˈwʊd	Expressing a conditional or future action or state	freetalk
she	ˈʃi	Used to refer to a female person or animal previously mentioned or easily identified	freetalk
new	ˈnu	Not existing before; made, introduced, or discovered recently or now for the first time	freetalk
people	ˈpipəl	Human beings in general or considered collectively	freetalk
how	ˈhaʊ	In what way or manner	freetalk
don't	ˈdoʊnt	Short for 'do not'	shadowline
also	ˈɔlsoʊ	In addition; too	freetalk
them	ˈðɛm	Used to refer to two or more people or things previously mentioned or easily identified	freetalk
now	ˈnaʊ	At the present time	freetalk
other	ˈʌðɝ	Used to refer to someone or something different or distinct from the one already mentioned	freetalk
i'm	ˈaɪm	Short for 'I am'	shadowline
its	ˈɪts	Belonging to or associated with a thing previously mentioned or easily identified	freetalk
our	ˈaʊɝ	Belonging to us	freetalk
than	ˈðæn	Used to introduce the second element in a comparison	freetalk
good	ˈɡʊd	Morally excellent or virtuous	freetalk
only	ˈoʊnli	Alone in a category or class; sole	freetalk
after	ˈæftɝ	Following in time; later	freetalk
first	ˈfɝst	Coming before all others in time or order	freetalk
him	ˈhɪm	Used as the objective case of he	freetalk
into	ˈɪntu	Expressing movement or action with the result of being enclosed or surrounded by something	freetalk
know	ˈnoʊ	Be aware of the truth or fact of something	freetalk
see	ˈsi	Perceive with the eyes; discern visually	freetalk
two	ˈtu	Equivalent to the sum of one and one	freetalk
make	ˈmeɪk	To create or produce something	freetalk
over	ˈoʊvɝ	Above or higher than	freetalk
think	ˈθɪŋk	Have a particular opinion, belief, or idea about someone or something	freetalk
any	ˈɛni	One or some of a thing or things, no matter how much or many	freetalk
then	ˈðɛn	At that time	freetalk
could	ˈkʊd	Used to indicate past ability or permission	freetalk
back	ˈbæk	The rear surface of the human body from the shoulders to the hips	freetalk
these	ˈðiz	Used to indicate a specific person or thing close at hand or being indicated or experienced	freetalk
want	ˈwɑnt	Have a desire to possess or do something	freetalk
because	bɪˈkɔz	For the reason that	freetalk
go	ˈɡoʊ	Move from one place to another	freetalk
well	ˈwɛl	In good health or satisfactory condition	freetalk
said	ˈsɛd	To express in words	freetalk
way	ˈweɪ	A method, style, or manner of doing something	freetalk
most	ˈmoʊst	Greatest in amount, quantity, or degree	freetalk
much	ˈmʌtʃ	A large amount or quantity	freetalk
very	ˈvɛɹi	In a high degree; extremely	freetalk
where	ˈwɛɹ	In or at what place	freetalk
even	ˈivɪn	Equal in degree, extent, or amount	freetalk
should	ˈʃʊd	Used to indicate obligation or duty	freetalk
may	ˈmeɪ	Expressing possibility or permission	freetalk
here	ˈhiɹ	In or at this place	freetalk
need	ˈnid	Require something because it is essential or very important	freetalk
really	ˈɹɪli	In actual fact; truly	freetalk
did	ˈdɪd	performed an action	freetalk
right	ˈɹaɪt	Morally good or just	freetalk
work	ˈwɝk	Activity involving mental or physical effort done in order to achieve a purpose or result	freetalk
year	ˈjɪɹ	A period of 365 days or 12 months	freetalk
years	ˈjɪɹz	A period of 365 days or 12 months	freetalk
being	ˈbiɪŋ	Existence	freetalk
day	ˈdeɪ	The time between sunrise and sunset	freetalk
too	ˈtu	In addition	freetalk
going	ˈɡoʊɪŋ	Moving or traveling from one place to another	freetalk
before	bɪˈfɔɹ	In front of; ahead of in place or time	freetalk
off	ˈɔf	Away from a place or position	freetalk
why	ˈwaɪ	For what reason or purpose	freetalk
made	ˈmeɪd	past tense and past participle of make	freetalk
still	ˈstɪl	Not moving or making a sound	freetalk
take	ˈteɪk	To grasp or hold with the hands	freetalk
got	ˈɡɑt	To receive or acquire	freetalk
many	ˈmɛni	A large number of people or things	freetalk
never	ˈnɛvɝ	Not ever; at no time	freetalk
those	ˈðoʊz	Used to refer to people or things that are physically distant from the speaker and the listener	freetalk
life	ˈlaɪf	The condition that distinguishes animals and plants from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death	freetalk
say	ˈseɪ	To utter words	freetalk
world	ˈwɝld	The earth, together with all of its countries, peoples, and natural features	freetalk
down	ˈdaʊn	Toward or in a lower place or position	freetalk
great	ˈɡɹeɪt	Of an extent, amount, or intensity considerably above the normal or average	freetalk
through	ˈθɹu	Moving in one side and out of the other side of (an opening, channel, or location)	freetalk
you're	ˈjʊɹ	Short for 'you are'	shadowline
last	ˈlæst	Most recent in time	freetalk
that's	ˈðæts	Short for 'that is' or 'that has'	shadowline
while	ˈwaɪl	A period of time during which something takes place	freetalk
best	ˈbɛst	Surpassing all others in excellence, achievement, or quality	freetalk
such	ˈsʌtʃ	Of the type previously mentioned	freetalk
love	ˈlʌv	A strong feeling of affection and concern toward another person	freetalk
man	ˈmæn	An adult human male	freetalk
home	ˈhoʊm	The place where one lives permanently, especially as a member of a family or household	freetalk
long	ˈlɔŋ	Extending for a considerable distance	freetalk
look	ˈlʊk	To direct one's gaze in a specified direction	freetalk
something	ˈsʌmθɪŋ	A thing that is not known or specified	freetalk
use	ˈjus	To employ for some purpose	freetalk
can't	ˈkænt	Short for 'cannot'	shadowline
same	ˈseɪm	Identical in kind or quality	freetalk
used	ˈjuzd	Previously owned or utilized	freetalk
both	ˈboʊθ	The one as well as the other	freetalk
every	ˈɛvɝi	Used to refer to all the individual items in a group without exception	freetalk
am	ˈæm	First person singular present of 'be'	freetalk
come	ˈkʌm	Move or travel toward or into a place	freetalk
part	ˈpɑɹt	A piece or segment of something	freetalk
state	ˈsteɪt	A nation or territory considered as an organized political community under one government	freetalk
three	ˈθɹi	The cardinal number that is the sum of two and one	freetalk
around	ɝˈaʊnd	In a circular or surrounding route or direction	freetalk
between	bɪˈtwin	In or through the space separating two objects or regions	freetalk
always	ˈɔlˌweɪz	At all times; on all occasions	freetalk
better	ˈbɛtɝ	More desirable or suitable	freetalk
find	ˈfaɪnd	Discover or perceive by chance or unexpectedly	freetalk
help	ˈhɛlp	Make it easier or possible for (someone) to do something by offering one's services or resources	freetalk
high	ˈhaɪ	Extending far upward	freetalk
little	ˈlɪtəl	Small in size	freetalk
old	ˈoʊld	Having lived for a long time; no longer young	freetalk
since	ˈsɪns	In the time following a particular event or date	freetalk
another	əˈnʌðɝ	One more; an additional	freetalk
does	ˈdʌz	Performs or executes an action	freetalk
own	ˈoʊn	To acknowledge or admit something as true or valid	freetalk
things	ˈθɪŋz	Objects or articles	freetalk
under	ˈʌndɝ	Below or beneath something else	freetalk
during	ˈdʊɹɪŋ	Throughout the course of	freetalk
game	ˈɡeɪm	An activity engaged in for amusement or fun	freetalk
i've	ˈaɪv	Short for 'I have'	shadowline
thing	ˈθɪŋ	An object that one need not, cannot, or does not wish to give a specific name to	freetalk
give	ˈɡɪv	To freely transfer the possession of something to someone else	freetalk
house	ˈhaʊs	A building for human habitation	freetalk
place	ˈpleɪs	A particular position or point in space	freetalk
school	ˈskul	An institution for educating children	freetalk
again	əˈɡɛn	Once more; another time	freetalk
next	ˈnɛkst	Immediately following in order or importance	freetalk
each	ˈitʃ	Every one of two or more people or things considered separately	freetalk
without	wɪˈθaʊt	Not having or holding something	freetalk
against	əˈɡɛnst	In opposition to	freetalk
didn't	ˈdɪdənt	Short for 'did not'	shadowline
end	ˈɛnd	The final part of something	freetalk
found	ˈfaʊnd	establish or originate	freetalk
must	ˈmʌst	Be obliged to; have to	freetalk
show	ˈʃoʊ	Display or exhibit	freetalk
big	ˈbɪɡ	Of considerable size or extent	freetalk
feel	ˈfil	To perceive through touch or physical sensation	freetalk
sure	ˈʃʊɹ	Confident in what one thinks or knows	freetalk
team	ˈtim	A group of people working together to achieve a common goal	freetalk
ever	ˈɛvɝ	At any time	freetalk
family	ˈfæməli	A group consisting of parents and children living together in a household	freetalk
keep	ˈkip	To have or retain possession of	freetalk
might	ˈmaɪt	Used to indicate possibility or probability	freetalk
please	ˈpliz	Used to make a polite request or to express courtesy	freetalk
put	ˈpʊt	To place in a particular position	freetalk
money	ˈmʌni	A medium of exchange in the form of coins and banknotes	freetalk
free	ˈfɹi	Not under the control or in the power of another; able to act or be done as one wishes	freetalk
second	ˈsɛkənd	A unit of time equal to 1/60th of a minute	freetalk
someone	ˈsʌmˌwʌn	An unspecified person	freetalk
away	əˈweɪ	At a distance from a particular place or person	freetalk
left	ˈlɛft	Remaining after the departure, removal, or destruction of others	freetalk
number	ˈnʌmbɝ	A mathematical value or figure	freetalk
city	ˈsɪti	A large town	freetalk
days	ˈdeɪz	A period of 24 hours, especially as a unit of time	freetalk
lot	ˈlɑt	A large extent, amount, or number	freetalk
name	ˈneɪm	A word or set of words by which a person, animal, place, or thing is known, addressed, or referred to	freetalk
night	ˈnaɪt	The period of darkness in each twenty-four hours; the time from sunset to sunrise	freetalk
play	ˈpleɪ	Engage in activity for enjoyment and recreation	freetalk
until	ənˈtɪl	Up to the point in time that	freetalk
company	ˈkʌmpəˌni	A commercial business	freetalk
doing	ˈduɪŋ	The act of performing or executing a task or action	freetalk
few	ˈfju	A small number of something	freetalk
he's	ˈhiz	Short for 'he is' or 'he has'	shadowline
let	ˈlɛt	To allow or permit	freetalk
real	ˈɹil	Actually existing or occurring	freetalk
